video name,mos,accepted scores,rejected scores
bunny_2_2_1000k_720_3,2.613,2 4 1 1 4 1 4 4 2 4 2 3 1 1 2 4 4 4 1 1 3 2 2 4 3 1 2 4 4 3 3,4 1
bunny_2_2_1000k_720_4,2.387,2 3 1 1 3 1 4 3 2 3 2 3 1 1 2 4 3 4 1 1 3 2 2 3 3 1 2 4 4 2 3,4 5
bunny_2_2_1000k_720_5,2.581,2 4 1 2 4 1 4 3 2 4 2 3 1 1 2 4 4 4 1 1 3 3 2 3 3 1 2 3 4 3 3,2 5
bunny_2_2_1000k_720_6,2.774,2 3 1 1 4 1 4 3 2 5 2 3 1 1 2 4 4 4 1 1 4 3 2 4 4 1 4 3 4 4 4,4 1
bunny_2_2_1000k_720_7,2.323,1 3 1 2 4 1 4 3 2 3 2 2 1 1 2 4 3 4 1 1 2 2 2 3 2 1 2 4 4 2 3,2 1
bunny_2_0_300k_180_3,2.588,3 1 2 4 4 1 4 3 4 4 4 4 3 2 1 1 2 1 3 3 3 1 1 4 2 2 3 1 3 3 2 3 4 2,3 4 3 1
bunny_2_0_300k_180_4,2.529,2 1 2 5 4 1 4 3 4 3 3 4 3 2 1 1 2 1 3 3 2 1 1 3 2 2 3 1 3 4 2 3 4 3,3 5 4 3
bunny_2_0_300k_180_5,2.618,2 1 2 4 4 1 4 3 4 3 2 4 4 4 1 1 2 1 3 3 2 1 1 4 2 2 4 1 3 4 2 3 4 3,4 4 4 3
bunny_2_0_300k_180_6,2.588,2 1 2 4 4 1 4 3 4 3 4 4 3 4 1 1 3 1 3 2 2 1 1 3 2 2 4 1 3 3 2 3 4 3,4 4 5 3
bunny_2_0_300k_180_7,2.588,2 1 3 4 4 1 4 3 4 4 3 4 3 2 1 1 2 1 3 4 3 1 1 4 2 2 3 1 3 3 2 3 3 3,4 3 5 4
bunny_2_2_200k_90_3,1.216,1 1 2 1 1 1 1 1 1 2 1 1 3 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2,3 2 1
bunny_2_2_200k_90_4,1.27,1 1 2 1 1 1 1 1 1 2 1 1 2 1 2 1 2 1 1 1 2 1 1 1 2 1 2 1 1 1 2 1 2 1 1 1 1,1 1 2
bunny_2_2_200k_90_5,1.216,1 1 2 1 1 1 1 1 1 3 1 1 2 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1,3 3 3
bunny_2_2_200k_90_6,1.135,1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1,1 1 3
bunny_2_2_200k_90_7,1.108,1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,2 1 3
bunny_2_2_300k_180_3,1.688,1 2 3 1 1 1 1 3 4 1 3 3 1 2 1 1 2 2 1 2 1 1 4 1 1 2 1 1 1 2 2 1,1 3 3 3 4 2 2 3 3 4 2 2 2 5
bunny_2_2_300k_180_4,1.688,2 1 2 1 1 1 1 3 2 1 3 3 1 3 1 1 2 2 2 2 1 1 3 1 1 2 1 1 2 2 2 2,1 3 1 2 2 3 3 3 2 2 3 2 2 2
bunny_2_2_300k_180_5,1.688,1 1 3 1 1 1 1 3 2 1 3 3 1 3 1 1 2 2 2 2 1 1 3 1 1 2 1 1 2 2 2 2,1 3 1 3 2 3 2 2 3 2 2 3 2 3
bunny_2_2_300k_180_6,1.531,1 1 2 1 1 1 1 2 1 1 3 2 1 3 1 1 2 2 2 2 1 1 3 1 1 3 1 1 1 3 1 1,1 4 1 2 3 2 3 3 1 3 4 3 2 3
bunny_2_2_300k_180_7,1.438,1 1 2 1 1 1 1 2 2 1 3 2 1 2 1 1 2 2 1 2 1 1 2 1 1 1 1 1 2 2 1 2,1 2 1 2 4 2 3 3 2 1 2 4 2 2
game_720_0_100k_90_3,1.895,2 1 1 1 4 3 1 4 2 2 3 1 2 4 1 2 1 1 1 2 3 2 1 1 2 3 3 2 2 1 1 2 2 1 1 1 3 2,5 1 4 1 2 2 1 2 2
game_720_0_100k_90_4,1.763,2 1 1 1 4 3 1 4 2 2 2 1 2 2 1 3 1 1 1 2 3 2 2 1 2 3 2 2 2 1 1 2 2 1 1 1 1 1,5 2 1 1 2 2 1 5 2
game_720_0_100k_90_5,1.684,2 1 2 1 4 2 1 4 2 2 3 1 2 2 2 2 1 1 1 2 2 2 1 1 2 2 2 2 2 1 1 2 1 1 1 1 1 1,5 3 1 1 3 3 1 5 2
game_720_0_100k_90_6,1.737,2 1 1 1 3 3 1 4 2 2 2 1 2 2 1 2 1 1 1 2 3 2 1 1 2 2 3 2 2 1 1 2 2 1 1 1 3 1,5 2 2 1 3 2 1 1 3
game_720_0_100k_90_7,1.658,1 1 1 1 4 2 1 4 1 2 2 1 2 3 1 2 1 1 1 2 2 2 1 1 2 3 2 2 2 1 1 1 2 1 1 1 3 1,5 2 3 1 3 3 1 5 1
game_720_0_500k_360_3,2.655,4 1 2 4 4 3 3 4 5 2 3 2 1 1 4 3 2 1 1 2 3 3 5 1 4 1 1 3 4,2 5 3 4 5 5 4
game_720_0_500k_360_4,2.793,3 1 2 4 4 3 3 4 4 3 4 3 1 1 4 3 3 1 1 3 4 3 5 1 4 1 1 3 4,5 5 3 3 4 1 5
game_720_0_500k_360_5,2.862,4 1 2 4 4 3 4 4 5 3 4 2 1 1 4 3 3 1 1 4 4 4 5 1 3 1 1 2 4,5 5 5 5 4 2 5
game_720_0_500k_360_6,2.793,3 1 2 4 4 3 3 4 5 2 4 2 1 1 4 3 3 1 1 3 4 4 5 1 4 1 1 4 3,2 5 3 4 4 5 4
game_720_0_500k_360_7,3.,3 1 3 4 4 4 4 4 4 3 3 3 1 1 4 3 3 1 1 4 4 4 5 2 4 1 1 4 4,5 5 3 4 5 5 5
game_720_2_3000k_720_3,2.406,1 3 3 1 4 3 1 4 4 1 3 3 1 1 1 3 4 1 1 3 3 2 5 1 3 4 1 4 2 1 2 3,3 5
game_720_2_3000k_720_4,2.25,1 2 4 1 4 3 1 4 4 1 3 3 1 1 1 3 4 1 1 3 3 2 1 1 3 4 1 3 2 1 3 2,3 1
game_720_2_3000k_720_5,2.344,1 2 4 1 4 3 1 4 4 1 3 3 1 1 1 2 4 1 1 3 2 2 5 2 3 4 1 3 2 1 2 3,3 5
game_720_2_3000k_720_6,2.188,1 1 5 1 4 2 1 4 2 1 2 5 1 1 1 1 3 1 1 2 3 2 5 2 3 3 1 3 5 1 1 1,5 5
game_720_2_3000k_720_7,2.406,2 2 4 1 4 3 1 4 3 1 3 3 1 1 1 2 4 1 1 3 3 2 5 2 3 4 1 3 2 1 3 3,3 5
game_720_2_100k_90_3,1.265,1 3 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1,1 2 1 2
game_720_2_100k_90_4,1.206,1 2 1 1 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1,1 2 2 1
game_720_2_100k_90_5,1.147,1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1,1 1 2 1
game_720_2_100k_90_6,1.118,1 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1
game_720_2_100k_90_7,1.265,1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 2 1 1 1 1 2 1 1 1 2 1,1 1 2 2
game_720_2_500k_360_3,1.765,1 4 1 1 2 3 1 1 1 1 3 3 3 2 1 1 1 1 2 3 3 1 1 3 2 1 2 1 3 1 2 1 2 1,1 3 3 3 3 1 4 1 2 1 2 1 1 3 3 5 2 5 1 1 1
game_720_2_500k_360_4,1.765,1 4 1 2 3 1 1 1 1 1 3 3 4 2 1 1 1 1 2 3 2 1 1 3 2 1 2 1 3 1 1 1 2 2,1 1 3 2 3 1 3 1 2 2 2 1 1 3 3 5 2 5 1 1 2
game_720_2_500k_360_5,1.765,1 4 1 2 3 3 1 1 1 1 3 2 2 3 1 1 1 1 2 3 3 1 1 3 2 1 2 1 2 1 2 1 2 1,2 3 3 4 2 1 3 1 3 2 3 1 1 3 3 4 2 5 1 1 2
game_720_2_500k_360_6,1.441,1 4 1 2 2 1 1 1 1 1 2 2 1 1 1 1 1 1 2 3 1 1 1 3 1 1 2 1 2 1 1 1 2 1,1 1 3 2 1 1 1 1 1 2 2 1 1 3 2 4 1 5 1 1 1
game_720_2_500k_360_7,1.824,1 3 1 2 3 2 1 1 1 1 3 4 3 3 1 1 1 1 2 3 4 1 1 4 2 1 1 1 2 1 1 1 2 2,1 2 3 3 3 1 3 2 3 3 2 1 1 4 3 4 2 1 1 1 2
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_500k_360_3,2.267,1 2 3 4 1 1 1 3 2 4 5 4 3 1 1 3 2 3 3 1 4 1 1 2 2 1 2 2 3 2,3 1 4 1 3 4 3 3 1 2 3 4 1 4 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_500k_360_4,1.7,1 1 2 1 1 1 1 3 1 4 3 3 3 1 1 2 2 2 2 1 3 1 1 1 2 1 1 2 2 1,1 1 3 1 3 4 3 1 1 1 2 1 1 4 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_500k_360_5,1.8,1 1 2 3 1 1 1 3 1 4 4 3 3 1 1 1 3 2 2 1 3 1 1 2 1 1 1 2 2 1,1 1 3 1 3 2 1 2 1 2 2 2 1 4 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_500k_360_6,1.9,2 1 2 3 1 1 1 3 1 4 3 3 3 1 1 2 2 3 3 1 4 1 1 1 2 1 1 2 2 1,1 1 3 1 2 3 2 2 1 2 2 4 1 4 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_500k_360_7,2.1,2 2 2 4 1 1 1 4 1 4 4 3 3 1 1 2 2 3 3 1 3 1 1 2 3 1 1 2 3 1,1 1 5 1 2 4 2 2 1 2 2 2 1 4 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_100k_90_3,1.226,1 1 1 1 1 2 1 1 3 1 2 1 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1,1 2 1 1 2 1 1 2
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_100k_90_4,1.129,1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1,1 1 1 1 2 1 1 2
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_100k_90_5,1.,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 3 1 1 2
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_100k_90_6,1.194,1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 2 1 1 1 1 2 1 2 1 1 1 1 1 1,1 1 1 1 2 1 1 4
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_100k_90_7,1.258,1 1 1 1 1 2 1 1 3 1 2 1 1 1 1 1 2 1 1 1 1 1 3 1 2 1 1 1 1 1 1,1 3 1 3 3 1 1 3
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_100k_90_3,1.531,2 1 1 1 1 3 4 3 1 1 2 1 3 1 1 1 1 3 1 2 1 1 1 1 1 2 1 1 2 1 2 1,2 2 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_100k_90_4,1.5,2 1 1 1 1 3 4 3 1 1 2 2 3 1 1 1 1 2 2 1 1 1 1 1 2 1 1 1 2 1 1 1,2 2 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_100k_90_5,1.25,1 1 1 1 1 3 4 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1,1 2 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_100k_90_6,1.5,1 1 1 1 1 2 4 3 1 1 2 1 3 1 1 1 1 2 2 2 1 1 1 2 1 2 1 1 2 1 2 1,3 2 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_100k_90_7,1.812,3 1 1 1 1 3 4 3 1 1 3 2 3 1 1 2 1 3 1 3 1 1 1 1 2 2 1 2 2 1 3 2,3 3 1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_3000k_720_3,2.594,3 1 2 4 1 4 4 2 4 4 3 3 1 1 2 2 4 4 1 1 4 1 3 1 3 4 1 2 3 3 3 4,2
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_3000k_720_4,2.25,2 1 2 3 1 4 3 2 4 3 2 3 1 1 2 2 4 4 1 1 3 1 2 1 3 3 1 2 3 3 2 2,3
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_3000k_720_5,2.125,2 1 2 4 1 4 3 2 4 3 2 3 1 1 2 2 2 4 1 1 2 1 3 1 3 2 1 1 3 3 1 2,3
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_3000k_720_6,2.312,2 1 2 4 1 4 3 2 4 3 2 3 1 1 2 2 4 4 1 1 3 2 3 1 3 2 1 1 3 3 2 3,3
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_2_3000k_720_7,2.375,2 1 2 4 1 4 4 2 4 4 2 4 1 1 2 2 2 4 1 1 2 2 3 1 3 3 1 1 3 3 3 3,1
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_500k_360_3,3.2,3 5 1 3 3 4 4 4 4 5 4 4 4 3 1 5 3 4 1 1 4 3 3 4 1 4 1 2 4 4,5 5 5 4 4
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_500k_360_4,2.667,2 4 1 2 1 4 4 2 4 3 4 3 3 4 1 5 3 3 1 1 3 2 2 4 1 4 2 2 3 2,5 1 5 4 4
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_500k_360_5,2.733,2 3 1 2 2 4 4 3 4 3 3 3 3 3 1 5 3 3 1 1 4 2 2 4 1 4 3 2 4 2,5 1 5 3 4
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_500k_360_6,2.933,3 4 1 2 2 4 4 4 4 4 3 3 3 3 1 5 3 4 1 1 4 2 3 4 1 4 3 2 4 2,5 5 5 3 4
FantasticFinish2013_01_04BoysBasketball_Lakeviewvs_0_500k_360_7,3.133,3 4 1 3 2 4 4 4 4 5 5 4 3 3 1 5 3 3 1 1 4 3 3 4 1 4 3 2 4 3,5 5 5 1 4
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_500k_360_3,1.421,1 1 1 1 1 1 3 1 1 1 1 2 3 1 3 2 2 2 1 1 1 2 1 2 1 2 1 2 1 1 1 2 1 1 2 1 1 1,5 1 2 2 4 1
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_500k_360_4,2.026,2 1 1 1 2 2 3 1 1 1 2 5 3 2 4 3 1 3 1 1 2 2 2 3 1 4 1 4 2 1 2 2 1 2 2 2 1 3,4 1 5 3 4 2
original_videos_Gaming_1080P_Gaming_1080P-57ca_2_500k_360_5,2.,1 1 1 1 2 2 2 3 1 1 2 2 3 1 3 4 1 3 1 2 1 5 2 3 1 3 1 3 2 1 1 3 1 2 2 2 4 2,4 1 5 3 4 2
